id	tgt_text
audio_0_5	▁അതന ൽ ▁ ട ഗ ചച ▁മററ യ ▁ഉൽപപനന ▁രപകൽപപന ▁ ത ര തത നറ ▁ ത തത വ ച ന ത ▁നങങൾകകറയ ▁ഉൽപപനന ങങള ല കക ▁ഗണനലവര ▁രപകൽപപന ▁ചയയനന തന ളള ▁ഒര ▁ ത തത വ ച ന ത യ ▁ ര ത ശ സതര വ ▁അദദഹ ▁ ന ർ ദ ദ ശ ചച ▁പരകരയ കൾ
audio_0_92	▁നങങൾകക ▁സ ധ യ മയ ▁ ല കഷ യ ▁എനന ത ▁വ ര യ ബ ള കള ട ▁ ത ര ഞ ഞ ട പപ ▁ഒര പ കഷ ▁സ പ ടട ▁വ ത ▁ ആ യരകക
audio_0_17	▁അതന ൽ ▁ അ വ ട ▁പരമറററകൾ ▁തരഞഞടകക ക ▁പരമറററ ല ▁ ഏ ററ വ ▁ ച റ യ ▁വയതയന ങങള ▁പരതയക ▁എഞച നറ ▁ ശ ഷ യ മ ണ ▁പര മ ട ര ക ▁ഒര ▁പര പപ ർ ടട ▁ ഡ ല വ റ ▁ചയയനന തന യ ▁എലല യ പപ ഴ ▁സ കഷ കകനന ▁അല ല ങ ക ൽ ▁ഒര ▁പരകടന മ യരകക ▁പര മ ട ര ക ▁എലല യ പപ ഴ ▁ ഓ വ ർ ▁സ ഡ ൽ ▁അല പ ▁ മ ത ര ▁സ കഷ കക ണ ▁അങങന ▁എലല യ പപ ഴ ▁ അ വ ട യ ണട ▁പരകടന ▁അളവകൾ കക ▁ അ ന സ ത മ ണ
audio_0_91	▁അതന ൽ ▁ഇത ▁പരകരയ ▁ ആ ര ഭ കകനന
audio_0_86	▁അത ത ര മ ര ▁നയനതരണ ▁ചർടട ൽ ▁സ ല ടട ▁ചയയണ ട ▁പരതയക ▁ അ ള വ ▁ ന ല ന ർ തത നന ണട യ നന ▁കണ ക
audio_0_72	▁അതന ൽ ▁ ഈ ▁പര ഭ ഷ ണ ▁ ഇ വ ട ▁ അ വ സ ന പപ കക ▁സ മയ തത നറ ▁ ത ൽ പപ ര യ ▁പ കഷ ▁ അ ട തത ▁പര ഭ ഷ ണ തത ൽ ▁ ന മ കക ▁ചയയ ൻ ▁കഴയ മ ങ ക ൽ ▁നമമൾ ▁ശര മ ചച ▁കണ ▁ ഈ ▁ എ ക യ എ ല ല ന പപ ▁എന ത ങ ക ല ▁അത വ ഴ ▁ ഏ ത ▁ ത ര തത ല ളള ത ണ നന ▁സ ന ദ ർ ഭ ച ത മയ ▁ മ റ നന ▁നമമൾ ▁ ച ർ ചച ▁ചയയനന ▁പര മ ററ ർ
audio_0_21	▁അതന ൽ ▁വ യ ക ത മയ ▁പരമറററകൾ ▁ ഉ തത ര വ ദ തത പപ ടട വ ർ കക ▁നയനതരണ മ ല ല തത ▁ ഈ ▁ഘടക ങങള ▁ഡസ ൻ ▁ഘടട ▁കണകകകക ണ ▁ ന ൺ ▁ ക ൺ ഫ ർ മ ൻ സ ന ▁കരണ മ ക നന ▁ഘടക ▁ ഇ വ യ ▁ശബദ ▁എനന ▁വ ള കകനന ▁ഘടക
audio_0_15	▁അതന ൽ ▁വ യ ക ത മയ ▁പര ▁പല ▁സസററ ▁നർമമ കകനന തന യ ▁ഉൽപപനന ▁പരസസ സ ▁ഡസ ൻ ▁പരമറററകൾ ▁സ ജ ജ മ കക യരകക നന ▁ലവൽ ▁ ന ർ ദ ദ ശ ക കക ▁പരകടന ▁വയതയന തത നറ ▁കരണ ങങള ട ▁കറ ഞ ഞ ▁സ ൻ സററ വ ▁ ആ യ തന ൽ ▁ഗണനലവര ▁നഷട ▁കറ യ കകനന
audio_0_44	▁ 0 1 ▁ലവല ൽ ▁അല ല ങ ക ൽ ▁ 0
audio_0_35	▁ആദയ മയ ▁ ട ഗ ചച ▁ ന ർ ദ ദ ശ ചച ▁ഇത ▁ അ ന ര പ മ ല ല ത തത ▁സ ഭ വ കകനന ത ▁വ ര ▁ ക തത ര കകനന തപല യ ണ നന ▁നങങൾകകറയ ▁ ത ര തത ൽ ▁ ന ട പ ട ▁സ വ ക ര ചച
