id	tgt_text
audio_0_172945	▁त ▁इस ▁त र क ▁स ▁म शन ▁ल र न ग ▁भ ▁एक ▁अ ल ग ▁तरह ▁क ▁त क न क ▁ह
audio_0_15507	▁स ल इ ड ▁स म य ▁दख ▁0 0 4 3 ▁इसलए ▁यद ▁यह ▁स र क ट ▁द य ▁जत ▁ह ▁त ▁ज ▁क छ ▁द य ▁ ग य ▁ह ▁उस क ▁कर ट ▁क ▁प त ▁लग न ▁ह
audio_0_19541	▁आ ज ▁हम ▁एक ▁ ऐ स ▁त क न क ▁स ख न ▁ज ▁रह ▁ह ▁जस ▁म न क ▁लग त ▁य ▁व च रण ▁व श ल ष ण ▁क ▁रप ▁म ▁ज न ▁जत ▁ह ▁ज ▁म ख य ▁रप ▁स ▁लग त ▁न य त रण ▁ उ द द श य ▁क ▁लए ▁उपयग ▁ह
audio_0_3604	▁ r e f e r ▁ s l i d e ▁ t i m e ▁1 9 4 6 ▁जस ▁क ▁म न ▁इस ▁ च ज ▁क ▁लए ▁ल ख ▁ह ▁ड स ▁म शन ▁क ▁आ र म च र ▁क ▁क म ▁न क स न ▁व ल ▁स ल क न ▁स ट ल ▁क ▁प त ल ▁ल म न शन ▁स ▁ब न य ▁ ग य ▁ह
audio_0_154718	▁अब ▁ल ▁पस ▁क ▁पर ट ट इ प ▁म ▁हम न ▁दख ▁थ ▁क ▁हम र ▁पस ▁स र ज ▁म ▁इ ड क टर न स ▁और ▁क प स ट स ▁ श ट ▁म ▁ह
audio_0_166655	▁यद ▁आप ▁ ऐ स ▁करत ▁ह ▁त ▁ i ▁क ▁यह ▁ घ ष ण ▁ल प ▁क ▁लए ▁सथ न य ▁ह ▁ज ▁एक ▁ब र ▁ल प ▁क ▁लए ▁ब ह र ▁आ न ▁क ▁बद ▁आप ▁बद ▁क ▁क ट ▁स ट ट म ट ▁म ▁ह ▁य ▁बद ▁म ▁म झ ▁ घ ष त ▁नह ▁कय ▁ज ए ग
audio_0_166224	▁लक न ▁म ▁क ह ▁रह ▁ह ▁क ▁स द र भ ▁ x ▁सथ र ▁ह ▁जस क ▁अ र थ ▁ह ▁क ▁ x ▁क ▁क ई ▁भ ▁पर व र त न ▁स भ व ▁नह ▁ह
audio_0_118779	▁और ▁इस ▁ब र ▁हम ▁फर क व स ▁ड म न ▁म ▁स म ल शन ▁कर ग
audio_0_115724	▁त ▁आप ▁दख ▁सकत ▁ह ▁क ▁ n ▁ए ल म ट ▁ह
audio_0_121041	▁इसलए ▁एक स टर न ल ▁म र क ट ग ▁व द ▁कर ▁रह ▁ह ▁क ▁ ग र ह क ▁अ प कष ओ ▁क ▁ज च ▁कर ▁रह ▁ह ▁कर ▁रह ▁ह ▁और ▁ब ई ▁ ओ र ▁यह ▁व द ▁य ▁स भ ▁ब क ▁स ट ज ▁ ग त व ध य ▁क ▁स कष म ▁कर ▁रह ▁ह ▁ज ▁स ग ठ न ▁म ▁क ष म त ▁प द ▁करत ▁ह ▁और ▁ ग र ह क ▁क ▁म न ▁म ▁व द ▁क ▁पर ▁करन ▁क ▁क ष म त ▁ र ख त ▁ह
audio_0_24264	▁जस ▁ह र ▁ र ग ▁व ▁द र श त ▁ह ▁ज ▁म झ ▁ च ह ए ▁और ▁ल ल ▁व ▁द र श त ▁ह ▁ज ▁म झ ▁नह ▁ च ह ए
audio_0_19883	▁त ▁1 6 0 0 0 0 0 ▁1 9 2 0 0 0 0 ▁1 2 0 0 0 0 0 ▁ 4 7 2 0 0 0 0 ▁अब ▁यह ▁क ल ▁अन म न त ▁ब क र ▁ र ज स व ▁ह ▁ज ▁ब क र ▁ब ज ट ▁म ▁द य ▁ज ए ग ▁ ठ क ▁ह
audio_0_130778	▁त ▁अ ल ग ▁करन ▁क ▁ फ क शन ▁एक ▁व श ष ट ▁लक ड ▁ल स ट ▁पर क र ▁क ▁ ऑ प र शन ▁ह ▁ज ह ▁आपक ▁पस ▁एक ▁द ह र ▁लक ▁ल स ट ▁ह ▁और ▁ m a l l o c ▁क ▁द र न ▁य ▁ f r e e ▁क ▁द र न ▁जब ▁आप ▁स ल न ▁क ▁द र न ▁य ▁ m a l l o c ▁क ▁द र न ▁एक ▁लक ▁क ▁ ग ई ▁ल स ट ▁क ▁ह ट न ▁ च ह त ▁ह ▁जब ▁आप ▁व स त व ▁म ▁म म र ▁म ▁इस ▁ ट क ड ▁क ▁एक ▁व श ष ▁ m a l l o c ▁अन र ध ▁क ▁लए ▁आ व ट त ▁करन ▁ च ह त ▁ह
audio_0_114970	▁इसलए ▁इस ▁व श ष ▁एक स प र शन ▁द व र ▁द ▁पर ट ▁ ऑ स ल टर ▁क ▁म क स म म ▁आ उ ट प ट ▁प व र ▁द ▁जत ▁ह ▁अब ▁ च त ▁न ▁कर ▁म ▁आपक ▁थ ड ▁द र ▁म ▁इस ▁व श ष ▁एक स प र शन ▁क ▁ड र व शन ▁दख न ▁ज ▁रह ▁ह ▁लक न ▁हम ▁प ह ल ▁यह ▁पर भ ष त ▁करन ▁ च ह ए ▁क ▁यह ▁पर ▁अ ल ग ▁अ ल ग ▁ टर म ▁कय ▁ह
audio_0_169334	▁यह ▁स भ व ▁ह ▁कय क ▁यह ▁स भ व ▁ह ▁अ प ▁क स ट
audio_0_124008	▁अब ▁यद ▁आप ▁ड स क ▁पर ▁दख त ▁ह ▁त ▁म र ▁पस ▁यह ▁व फ र ▁ब क स ▁ह ▁व फ र ▁ ध र क ▁जस म ▁म र ▁पस ▁यह ▁ ऑ क स क त ▁स ल क न ▁ह ▁और ▁म ▁इस ▁आपक ▁दख न ▁ज ▁रह ▁ह
audio_0_162859	▁पर ण म ▁क ▁अब ▁ उ न ▁स भ ▁अन प र य ग ▁क ▁ल न ▁ह ▁ज ▁स व त ▁न ▁व क स त ▁क ए ▁थ ▁और ▁न ल य ▁न ▁व क स त ▁क ए ▁थ ▁और ▁ उ न ह ▁द ▁अ ल ग ▁अ ल ग ▁न म स थ न ▁म ▁ र ख ▁थ
audio_0_133795	▁त ▁य ▁क छ ▁ ग ज ट ▁क ▁ उ द ह रण ▁थ ▁ज ▁हम न ▁ब न ए ▁ह ▁व स त व ▁म ▁इ टर न ट ▁पर ▁ब ह त ▁स र ▁ उ प क रण ▁ उ प ल ब ध ▁ह ▁ज न क ▁उपयग ▁आप ▁आ र ओ प ▁ ग ज ट ▁ब न न ▁क ▁लए ▁कर ▁सकत ▁ह
audio_0_13950	▁स ल इ ड ▁ ट इ म ▁दख ▁2 0 5 3 ▁त ▁v 0 ▁ 4 0 ▁व ल ट ▁अब ▁आ ई ▁1 ▁ 6 ▁ए म प य र ▁इस क ▁म त ल ब ▁ह ▁क ▁ 6 ▁ए म प य र ▁कर ट ▁पर व ह त ▁ह ▁रह ▁ह ▁1 0 ▁व ल ट ▁1 0 ▁व ल ट ▁स र त
audio_0_17545	▁व र त म न ▁ ग ण न ▁क ▁अन स र ▁यह ▁ 3 ▁रप ए ▁पर त ▁इ क ई ▁क ▁द र ▁स ▁2 ▁ घ ट ▁ह
audio_0_148926	▁हम र ▁पर प र ▁म ▁क स ▁स म य ▁एक ▁पर त भ ▁क ▁अ व ध रण ▁ह ▁जब ▁लग ▁द श य ▁क ल ▁और ▁व श ष ▁रप ▁स ▁स ह त य क ▁क ल ▁क ▁अ व ध रण ▁क ▁ ख ज ▁कर ▁रह ▁थ ▁पर त भ ▁क ▁रप ▁म ▁ज न ▁जत ▁थ ▁ज ▁पर च न ▁स स क त ▁म ▁ ख ज ▁ ग ई ▁थ
audio_0_4910	▁त ▁ल इ न ▁व ल ट ज ▁v l ▁और ▁हम ▁ज न त ▁ह ▁क ▁v l ▁ 3 ▁इन ▁ ट ▁ फ ज ▁व ल ट ज ▁म ग न ट य ड
audio_0_139047	▁ च क ▁ब स ▁ 3 ▁ज न र शन ▁नह ▁इसलए ▁ p g 3 ▁ब र ब र ▁ शन य ▁ह
audio_0_141785	▁त z y 2 आ प ▁इस ▁ब न त ▁ह ▁कय क ▁1 z y 2 ▁ z y 2 ▁आप ▁ ग ण न ▁करत ▁ह ▁त ▁आपक ▁यह ▁पर प त ▁ह ग ▁ ठ क ▁0 0 1 2 3 ▁ j 0 0 0 2 6 4
audio_0_121837	▁त ▁इन ▁ च ज ▁क ▁आप ▁क ▁न र ध र त ▁करन ▁ह त ▁ह ▁क त न ▁आ ध र भ त ▁ च ज ▁ह ▁यह ▁त ▁इस ▁व ज ह ▁स ▁हम ▁क ह ▁सकत ▁ह ▁क ▁अ भ य त र ▁स म कष ▁क ▁स म च च य ▁स ग ठ न त म क ▁स स ध न ▁स म ए ▁ल कष य ▁म ल य ▁ह ▁और ▁ब ह र ▁स म कष ▁क ▁लए ▁क व ल ▁पर त द व द ▁ह ▁नह ▁पर त ▁ब ज र ▁क ▁स र च न ▁उस क ▁न य म ▁क न न ▁ ग र ▁क म त ▁अ व र ध क ▁अ ग र ▁क ई ▁ह ▁त ▁इ त य द ▁भ ▁ह
audio_0_107565	▁ज ह ▁त क ▁आपक ▁द व र ▁ब न ए ▁ज ▁रह ▁द व र ▁क ▁स र च न त म क ▁य त र क ▁क ▁स ब ध ▁ह ▁यह ▁क स ▁भ न न ▁ह ग
audio_0_140933	▁यह ▁ c d ▁ a b ▁ i x ▁ s i n δ r ▁ह ▁और ▁आपक ▁ e a
audio_0_108972	▁फर ▁ब र ▁म ▁त न य त ▁त न व ▁म स न र ▁म ▁ह ▁क म प र शन ▁क ▁स त र ▁क ▁स म त ▁कर ▁द ग
audio_0_4407	▁त ▁अब ▁अ ग र ▁यह ▁ a ▁ह ▁त ▁यह ▁ b ▁ह ▁यह ▁क ड क टर ▁क ▁ल ब ई ▁ l ▁ह ▁और ▁यह ▁व स त व ▁म ▁ फ ल क स ▁ड स ट ▁ह ▁यह ▁ b ▁ फ ल क स ▁क ▁ड स ट ▁ e 1 ▁ह
audio_0_167830	▁त ▁क ई ▁अ ल ग ▁अ ल ग ▁पर क र ▁क ▁त त र ▁क ▁म न क ▁पस त क ल य ▁और ▁ उ न म ▁स ▁व व ध त ▁क ▁म ध य म ▁स ▁प ल ग ▁कय ▁ ग य ▁थ ▁लक न ▁ उ न म ▁स ▁क ई ▁भ ▁आपक ▁एक ▁स व च छ ▁स म ध न ▁नह ▁द त ▁ह ▁और ▁य ▁स ▁म ▁त र ट ▁स ▁न प ट न ▁क ▁क छ ▁ल घ ▁ च त रण ▁ह
audio_0_114658	▁त ▁यह ▁स ▁त ब ▁1 ⁄ 2 ▁प व र ▁यह ▁जत ▁ह ▁1 ⁄ 2 ▁प व र ▁यह ▁जत ▁ह ▁और ▁ g o e s ▁ श क त ▁यह ▁पर ▁जत ▁ह ▁और ▁व स त व ▁म ▁यद ▁आप ▁ब स ▁थ ड ▁स ▁स र ल क रण ▁करत ▁ह ▁त ▁म ▁आपक ▁ब स ▁यह ▁थ ड ▁सकत ▁द ग
audio_0_108709	▁ च क ▁यह ▁पर क त ▁म ▁न र ध र त ▁ह आ प क ▁पस ▁अ ल ग ▁अ ल ग ▁ ट ई ▁त त व ▁क ▁व श ष ट ▁न स ख ▁ह ▁और ▁इन ▁पर ट क ल ▁क ▁प ल न ▁न र म ण ▁म ▁कय ▁ज न ▁ च ह ए
audio_0_3817	▁त ▁त द न स र ▁आ र ▁करन ▁ह ग ▁क स ▁क ल ▁क ▁ह ल ▁करन ▁ह ▁इस क ▁म त ल ब ▁ह ▁इस ▁ब र च ▁म ▁क ब ▁कय ▁ह ▁रह ▁ह
audio_0_128523	▁वह ▁ए प ल ट य ड ▁ह ▁य ▁ ट इ म
audio_0_11800	▁त ▁इस क ▁म त ल ब ▁ह ▁इस ▁प ज शन ▁पर ▁इस ▁प ज शन ▁पर ▁पर र त ▁वह ▁ e m f ▁0 ▁ह ग ▁यह ▁ह ▁अ र थ त ▁ज ▁भ ▁आ र ख ▁म ▁ह ▁यह ▁दख य ▁ ग य ▁ह
audio_0_23598	▁उस ▁म ड य ल ▁क ▁पर ण ▁करन ▁क ▁बद ▁आप ▁यह ▁व प स ▁आ ▁सकत ▁ह ▁और ▁ज च ▁सकत ▁ह ▁क ▁ ट क र व ▁य ▁स घ र ष ▁स ब ध त ▁कय ▁ ग य ▁ह ▁य ▁नह ▁और ▁यह ▁हम र ▁लए ▁व श ल ष ण ▁ च रण ▁क ▁स म प न ▁ह ग
audio_0_140355	▁इस ▁स म क रण ▁क ▁ ऐ स ▁ल ख ▁सकत ▁ह ▁ i 1 n p g i ▁ i 1 n p l i p l o s s ▁य न ▁क ▁यह ▁ m ▁ह
audio_0_126896	▁इसलए ▁हम ▁क ह ▁सकत ▁ह ▁फर क व स ▁क ▁ज ▁ च ज ▁ह ▁ ट प र च र ▁क ▁क रण ▁वह ▁क फ ▁क म ▁ह ▁स र ▁पर क ट क ल ▁पर प स ▁क ▁लए ▁हम ▁उस ▁क स ट ट ▁ह ▁म न ग
audio_0_114004	▁त ▁यह ▁ह γ o u t ▁ड व इ स ▁क ▁आ उ ट प ट ▁स इ ड ▁क ▁ ओ र ▁स ▁दख ▁रह ▁ह ▁ l ▁ल ड ▁म च ग ▁न ट व र क ▁स ▁इन प ट ▁स इ ड ▁क ▁दख ▁रह ▁ह
audio_0_123890	▁ टर ज य ट ▁ र स प स ▁हम ▁आ ई ड य ▁द त ▁ह ▁क ▁क त न ▁ज ल द ▁स ▁ ऑ प ए प ▁ र स प न ड ▁करत ▁ह ▁प ल स ▁इन प ट ▁अ प ल ई ▁करन ▁पर
audio_0_2065	▁इस क ▁अ ल व ▁इस ▁ 3 ▁ड ▁स न ▁प इ ट ▁य ▁प इ ट ▁क ल उ ड ▁क ▁रप ▁म ▁भ ▁द य ▁जत ▁ह
audio_0_103628	▁अन य ▁ब य प ल म र ▁न ट व र क ▁क ▁लए ▁आपक ▁पस ▁यह ▁ g ▁अ भ ▁भ ▁ c ▁क ▁रप ▁म ▁प व र ▁ x ▁क ▁प म न ▁पर ▁ह ग ▁ज ह ▁ x ▁क ▁2 ▁और ▁ 3 ▁क ▁ब च ▁क ई ▁म न ▁ह ▁सकत ▁ह
audio_0_122346	▁और ▁यद ▁स व ▁क ▁बद ▁आपक ▁ ध रण ▁आपक ▁अ प कष ▁स ▁क म ▁ह ▁त ▁आप ▁स त ष ट ▁नह ▁ह ▁इसलए ▁स व ▁क ▁ ग ण व त त ▁ ग र ह क ▁स त ष ट ▁इस ▁प ▁म इ न स ▁ ई ▁ ध रण ▁पर ▁न र भ र ▁करत ▁ह
audio_0_163829	▁त ▁आपक ▁पर म टर ▁ ट इ प ▁ ट ▁द न ▁ह ग ▁क छ ▁न श च त ▁ब न य द ▁स च ल न ▁और ▁स च ल न ▁ह ▁ज न ह ▁ ट ▁क ▁स त ष ट ▁करन ▁ह ग
audio_0_168743	▁लक न ▁ह ▁प ढ न ▁ल ख न ▁क ▁म म ल ▁म ▁यह ▁स म न ▁ह ▁लक न ▁एक ▁ब ड ▁अ त र ▁ह ▁कय क ▁अ ग र ▁म न ▁इस ▁स र व ज न क ▁रप ▁स ▁ र ख ▁त ▁ ऑ ब ज क ट ▁क ▁क भ ▁भ ▁प त ▁नह ▁ च ल ग ▁जब ▁यह ▁कय ▁ज ▁रह ▁ह ▁त ▁यह ▁व श ष ▁ड ट ▁स द स य ▁प ढ ▁रह ▁ह ▁य ▁जब ▁यह ▁कय ▁ज ▁रह ▁ह ▁प ढ
audio_0_155152	▁फर ▁इस ▁स र क ट ▁पर ▁व प स ▁आ ▁रह ▁ह ▁जस ▁पर ▁हम न ▁क छ ▁म न ट ▁प ह ल ▁ च र च ▁क ▁थ ▁अ ग र ▁हम ▁क स ▁अन य ▁ र ज न टर ▁क ▁उपयग ▁करन ▁ह ▁त ▁हम ▁अन व र य ▁रप ▁स ▁एक ▁स र क ट ▁एक ▁ह टर ▁ र ज न टर ▁क ▁स र ज ▁म ▁लग न ▁क ▁आ व श य क त ▁ह
audio_0_151100	▁त ▁हम ▁क छ ▁ उ द ह रण ▁क ▁लए ▁ज ए ग
audio_0_1574	▁त ▁यह ▁क रण ▁ह ▁क ▁हम ▁व र त म न ▁ छ ट ▁द र ▁और ▁स ब ध त ▁क ▁ फ च र ▁क ▁स ग र ह त ▁करन ▁ह ग ▁फर ▁हम ▁स ब ▁ टर ▁क ▁ह इ प र ▁व ल य म ▁क ▁करन र ▁न ड स ▁क ▁सथ ▁न य न त म ▁द र ▁क ▁त ल न ▁कर क ▁यह ▁ब त ए ▁ ग ए ▁ब उ ड ग ▁ब क स ▁क ▁दख ▁सकत ▁ह
audio_0_116431	▁त ▁यह ▁इ फ क ट व ▁ल थ ▁त स व र ▁म ▁क ह ▁आ ▁रह ▁ह
audio_0_156365	▁क ल स ▁ b ▁क ▁लए ▁जस ▁क ▁म न ▁क ह ▁क ▁यह ▁ब ल क ल ▁1 8 0 ▁ड ग र ▁क ▁लए ▁क ड क ट ▁ह त ▁ह
audio_0_108306	▁कय क ▁हम ▁यह ▁म न ▁कर ▁ च ल ▁रह ▁ह ▁क ▁द व र व य ▁क ▁ ओ र ▁ छ र ▁पर ▁अब ▁प न ▁ह ▁और ▁इसलए ▁यह ▁एक ▁अ त र क त ▁न म न ▁आ घ रण ▁क ▁क रण ▁ह ▁और ▁इस ▁अ त र क त ▁न म न ▁आ घ रण ▁क ▁म न न ▁आ व श य क ▁ह
audio_0_154888	▁अब ▁म ▁स र फ ▁इस ▁ p k ▁ड ल ट ▁ k ▁और ▁ड ल ट ▁क ▁पर भ ष ▁द ग ▁और ▁हम ▁यह ▁स म झ न ▁क ▁लए ▁एक ▁ उ द ह रण ▁लग ▁क ▁इन ▁व य क त ग त ▁ श ब द ▁क ▁कय ▁अ र थ ▁ह
audio_0_160453	▁यह ▁पर ▁ n ▁स क व य र ▁पर इ म ल ▁व र ए ब ल स ▁ह ▁ n ▁स क व य र ▁ड अ ल ▁क स टर ट ▁ह ग
audio_0_2024	▁म न ▁ल ▁क ▁द ▁ छ व य ▁म ▁अन र प त ▁बद ओ ▁क ▁ब च ▁एक ▁हम ग र फ ▁म ज द ▁ह ▁और ▁आप ▁ज न त ▁ह ▁क ▁एक ▁प ल न र ▁द श य ▁एक ▁हम ग र फ ▁क ▁पर र त ▁करत ▁ह
audio_0_128945	▁त ▁प ह ल ▁ च ज ▁यह ▁ह ▁क ▁ज ▁ र स स टर ▁इस त म ल ▁कर ▁रह ▁ह ▁कय ▁वह ▁उस ▁व ल य ▁क ▁ह ▁ज ▁हम ▁ च ह ए
audio_0_153569	▁त ▁व क र ▁स त ह ▁पर ▁सथ त ▁ह ▁जस क ▁अ र थ ▁ह ▁जब ▁त क ▁ t ▁पर x y z ▁यह ▁बद ▁ह ▁हम ▁स त ह ▁पर ▁ह ▁यह ▁व क र ▁स त ह ▁पर ▁सथ त ▁ह ▁यह ▁द ए ▁ ग ए ▁स म क रण ▁क ▁स त ष ट ▁कर ग
audio_0_20176	▁हम न ▁दख ▁क ▁इस ▁तरह ▁क ▁ फ ल म ▁क ▁न र म ण ▁म ▁इस ▁पर म ण ▁ब म ▁द व र ▁भ र ▁म त र ▁म ▁ ऊ र ज ▁ र ल ज ▁क ▁ ग ई ▁थ ▁ज ▁म झ ▁लग त ▁थ ▁क ▁न म ▁ल ट ल ▁ब य ▁थ ▁और ▁आप न ▁ श य द ▁इस ▁ च त र ▁क ▁भ ▁दख ▁ह ग ▁यह ▁ए न ल ▁ ग ▁उस ▁व म न ▁क ▁न म ▁ह ▁जस न ▁उस ▁ल ट ल ▁ब य ▁क ▁ल ▁ज क र ▁ह र श म ▁पर ▁ड र प ▁कय ▁थ ▁ उ न क ▁ च ल क ▁द ल ▁क ▁स द स य ▁क ▁सथ ▁ उ न क ▁सथ ▁एक ▁त स व र ▁थ ▁और ▁ब क स क र ▁व म न ▁थ ▁जस प र ▁प ल ट न य म ▁ब म ▁ र ख ▁थ ▁ज ▁ 9 ▁अ ग स त ▁क ▁न ग स क ▁क ▁त र फ ▁ल ▁ ग य
audio_0_141460	▁त ▁ 9 0 0 ▁ब ज ▁यह ▁न च ▁आ ▁रह ▁ह ▁त थ ▁ 9 0 0 ▁स ▁1 1 0 0 ▁क ▁ब च ▁यह ▁1 ▁म ग ▁व ट ▁पर ▁ह
audio_0_117712	▁एक ▁ल ▁प व र ▁व ल ▁ज म र ▁क ▁एक ▁ छ ट ▁स ▁ र ज ▁ह ग ▁एक ▁ह ई ▁प व र ▁ज म र ▁क ▁एक ▁ब ड ▁ र ज ▁ह ग
